time	V(n003)	I(L1)	I(L2)
1.709999995682665e-004	-4.374616e+001	-9.088936e+000	1.406409e+002
1.777499995512244e-004	-4.002836e+001	-8.318481e+000	1.371885e+002
1.844285709629340e-004	-3.663205e+001	-7.614653e+000	1.340347e+002
1.911071423746437e-004	-3.347429e+001	-6.960256e+000	1.311023e+002
1.977857137863534e-004	-3.055505e+001	-6.355293e+000	1.283915e+002
2.044642851980630e-004	-2.787436e+001	-5.799763e+000	1.259022e+002
2.111428566097727e-004	-2.543220e+001	-5.293666e+000	1.236344e+002
2.178214280214823e-004	-2.322858e+001	-4.837001e+000	1.215881e+002
2.244999994331920e-004	-2.126350e+001	-4.429770e+000	1.197633e+002
2.309999994167811e-004	-1.949354e+001	-4.062975e+000	1.181197e+002
2.374999994003701e-004	-1.784559e+001	-3.721463e+000	1.165894e+002
2.439999993839592e-004	-1.631963e+001	-3.405234e+000	1.151724e+002
2.504999993675483e-004	-1.491568e+001	-3.114288e+000	1.138687e+002
2.569999993511374e-004	-1.363373e+001	-2.848625e+000	1.126782e+002
2.634999993347265e-004	-1.247378e+001	-2.608244e+000	1.116011e+002
2.699999993183155e-004	-1.143584e+001	-2.393147e+000	1.106373e+002
2.769999993006422e-004	-1.038757e+001	-2.175910e+000	1.096638e+002
2.839999992829689e-004	-9.433148e+000	-1.978122e+000	1.087775e+002
2.959999992526718e-004	-7.993925e+000	-1.679867e+000	1.074411e+002
3.019999992375233e-004	-7.361372e+000	-1.548780e+000	1.068537e+002
3.119999992122757e-004	-6.397193e+000	-1.348970e+000	1.059583e+002
3.239999991819786e-004	-5.408844e+000	-1.144151e+000	1.050405e+002
3.299999991668301e-004	-4.974099e+000	-1.054057e+000	1.046368e+002
3.379999991466320e-004	-4.459121e+000	-9.473359e-001	1.041586e+002
3.539999991062359e-004	-3.535323e+000	-7.558938e-001	1.033008e+002
3.579999990961369e-004	-3.331520e+000	-7.136590e-001	1.031115e+002
3.659999990759388e-004	-2.979363e+000	-6.406803e-001	1.027845e+002
3.819999990355427e-004	-2.387082e+000	-5.179396e-001	1.022345e+002
4.118062910676309e-004	-1.539110e+000	-3.422112e-001	1.014471e+002
4.418752047648977e-004	-9.260807e-001	-2.151708e-001	1.008778e+002
4.679172955509114e-004	-5.659895e-001	-1.405478e-001	1.005434e+002
4.954815817509639e-004	-3.044783e-001	-8.635386e-002	1.003006e+002
5.211094521133384e-004	-1.330854e-001	-5.083547e-002	1.001414e+002
5.442451988892986e-004	-2.252600e-002	-2.792383e-002	1.000388e+002
5.649816888960340e-004	5.063637e-002	-1.276212e-002	9.997083e+001
5.830084831060415e-004	9.885679e-002	-2.769220e-003	9.992605e+001
6.019404344557414e-004	1.379749e-001	5.337370e-003	9.988972e+001
6.201378503511431e-004	1.668613e-001	1.132362e-002	9.986289e+001
6.449002315779151e-004	1.960567e-001	1.737387e-002	9.983578e+001
6.739831291532752e-004	2.202912e-001	2.239609e-002	9.981328e+001
7.108364966348549e-004	2.403421e-001	2.655130e-002	9.979465e+001
7.524837401990621e-004	2.539853e-001	2.937864e-002	9.978199e+001
8.042411526915864e-004	2.631767e-001	3.128340e-002	9.977345e+001
8.650593167116544e-004	2.683961e-001	3.236504e-002	9.976861e+001
9.438976749628135e-004	2.711459e-001	3.293490e-002	9.976605e+001
1.041553924962814e-003	2.722994e-001	3.317393e-002	9.976498e+001
5.983061642496340e-002	2.726900e-001	3.325487e-002	9.976462e+001
9.996733517496131e-002	2.726900e-001	3.325487e-002	9.976462e+001
1.000000000000000e-001	2.726900e-001	3.325487e-002	9.976462e+001
