time	V(n003)	I(L1)	I(L2)
2.821428564305149e-005	-1.716367e+002	-3.297008e+001	4.398098e+002
3.082142849361195e-005	-1.690229e+002	-3.248729e+001	4.346669e+002
3.342857134417241e-005	-1.664511e+002	-3.200799e+001	4.295995e+002
3.603571419473286e-005	-1.639211e+002	-3.153217e+001	4.246075e+002
3.864285704529331e-005	-1.614331e+002	-3.105982e+001	4.196909e+002
4.124999989585376e-005	-1.589870e+002	-3.059096e+001	4.148498e+002
5.674999985672003e-005	-1.454097e+002	-2.798451e+001	3.879718e+002
7.224999981758630e-005	-1.327950e+002	-2.556205e+001	3.629983e+002
8.774999977845258e-005	-1.211431e+002	-2.332357e+001	3.399292e+002
1.032499997393188e-004	-1.104539e+002	-2.126909e+001	3.187646e+002
1.187499997001851e-004	-1.007274e+002	-1.939859e+001	2.995044e+002
1.342499996610514e-004	-9.196369e+001	-1.771208e+001	2.821487e+002
1.497499996219176e-004	-8.416267e+001	-1.620955e+001	2.666974e+002
1.652499995827839e-004	-7.696673e+001	-1.482527e+001	2.524474e+002
1.807499995436501e-004	-7.028064e+001	-1.353906e+001	2.392071e+002
1.962499995045164e-004	-6.410439e+001	-1.235093e+001	2.269764e+002
2.117499994653827e-004	-5.843799e+001	-1.126089e+001	2.157553e+002
2.272499994262489e-004	-5.328144e+001	-1.026892e+001	2.055439e+002
2.427499993871152e-004	-4.863473e+001	-9.375031e+000	1.963421e+002
2.582499993479814e-004	-4.449787e+001	-8.579222e+000	1.881500e+002
2.737499993088477e-004	-4.068329e+001	-7.845410e+000	1.805961e+002
2.892499992697140e-004	-3.713889e+001	-7.163572e+000	1.735771e+002
3.047499992305802e-004	-3.386467e+001	-6.533710e+000	1.670933e+002
3.202499991914465e-004	-3.086063e+001	-5.955822e+000	1.611444e+002
3.357499991523127e-004	-2.812677e+001	-5.429908e+000	1.557306e+002
3.512499991131791e-004	-2.566310e+001	-4.955969e+000	1.508518e+002
3.667499990740453e-004	-2.346960e+001	-4.534005e+000	1.465081e+002
3.817499990361739e-004	-2.150685e+001	-4.156431e+000	1.426213e+002
3.967499989983025e-004	-1.967996e+001	-3.804992e+000	1.390036e+002
4.117499989604312e-004	-1.798893e+001	-3.479686e+000	1.356548e+002
4.267499989225598e-004	-1.643374e+001	-3.180515e+000	1.325751e+002
4.417499988846885e-004	-1.501441e+001	-2.907477e+000	1.297645e+002
4.567499988468171e-004	-1.373093e+001	-2.660574e+000	1.272228e+002
4.717499988089458e-004	-1.258330e+001	-2.439804e+000	1.249502e+002
4.848928559186204e-004	-1.164292e+001	-2.258902e+000	1.230880e+002
4.980357130282950e-004	-1.076172e+001	-2.089387e+000	1.213430e+002
5.111785701379697e-004	-9.939723e+000	-1.931258e+000	1.197152e+002
5.243214272476443e-004	-9.176910e+000	-1.784516e+000	1.182046e+002
5.374642843573188e-004	-8.473287e+000	-1.649160e+000	1.168112e+002
5.506071414669934e-004	-7.828854e+000	-1.525190e+000	1.155351e+002
5.637499985766681e-004	-7.243611e+000	-1.412606e+000	1.143761e+002
5.837499985261729e-004	-6.409355e+000	-1.252120e+000	1.127240e+002
5.917499985059749e-004	-6.109581e+000	-1.194453e+000	1.121304e+002
6.077499984655788e-004	-5.557273e+000	-1.088205e+000	1.110367e+002
6.397499983847865e-004	-4.552774e+000	-8.949690e-001	1.090475e+002
6.477499983645885e-004	-4.327600e+000	-8.516523e-001	1.086016e+002
6.637499983241924e-004	-3.931087e+000	-7.753750e-001	1.078164e+002
6.957499982434001e-004	-3.206815e+000	-6.360464e-001	1.063821e+002
7.037499982232021e-004	-3.044458e+000	-6.048138e-001	1.060606e+002
7.197499981828059e-004	-2.758561e+000	-5.498157e-001	1.054945e+002
7.517499981020137e-004	-2.270125e+000	-4.558551e-001	1.045272e+002
8.157499979404292e-004	-1.508375e+000	-3.093170e-001	1.030187e+002
8.865487755349725e-004	-9.009187e-001	-1.924604e-001	1.018158e+002
9.528659659329009e-004	-5.150883e-001	-1.182380e-001	1.010518e+002
1.013185673297130e-003	-2.766423e-001	-7.236812e-002	1.005796e+002
1.072190706208541e-003	-1.144192e-001	-4.116121e-002	1.002583e+002
1.128484110887723e-003	-3.356686e-003	-1.979607e-002	1.000384e+002
1.172899206432232e-003	6.134023e-002	-7.350304e-003	9.991026e+001
1.213622007314528e-003	1.064041e-001	1.318646e-003	9.982101e+001
1.254414843139414e-003	1.415242e-001	8.074717e-003	9.975146e+001
1.299251926087910e-003	1.709906e-001	1.374318e-002	9.969312e+001
1.362367544717469e-003	2.013656e-001	1.958643e-002	9.963297e+001
1.434658209667383e-003	2.252560e-001	2.418224e-002	9.958566e+001
1.525633540038822e-003	2.442594e-001	2.783792e-002	9.954803e+001
1.623289790038822e-003	2.564430e-001	3.018168e-002	9.952390e+001
1.720946040038822e-003	2.633315e-001	3.150683e-002	9.951025e+001
1.818602290038822e-003	2.671596e-001	3.224324e-002	9.950267e+001
1.916258540038822e-003	2.692870e-001	3.265249e-002	9.949846e+001
2.111571040038822e-003	2.711262e-001	3.300631e-002	9.949482e+001
2.544048718610250e-003	2.714871e-001	3.307573e-002	9.949411e+001
2.976526397181679e-003	2.717668e-001	3.312953e-002	9.949356e+001
3.409004075753107e-003	2.719654e-001	3.316773e-002	9.949316e+001
3.841481754324535e-003	2.720828e-001	3.319032e-002	9.949293e+001
4.273959432895964e-003	2.721191e-001	3.319729e-002	9.949286e+001
4.706437111467392e-003	2.720741e-001	3.318865e-002	9.949295e+001
5.138914790038820e-003	2.719481e-001	3.316440e-002	9.949319e+001
5.572485229003935e-002	2.719481e-001	3.316440e-002	9.949319e+001
9.996313354003732e-002	2.719481e-001	3.316440e-002	9.949319e+001
1.000000000000000e-001	2.719481e-001	3.316440e-002	9.949319e+001
