time	V(n003)	I(L1)	I(L2)
1.935714280827077e-004	-1.995847e+001	-4.314643e+000	1.153065e+002
1.983571423563392e-004	-1.837611e+001	-3.974579e+000	1.140958e+002
2.031428566299708e-004	-1.691242e+001	-3.660016e+000	1.129760e+002
2.079285709036022e-004	-1.556738e+001	-3.370954e+000	1.119469e+002
2.127142851772338e-004	-1.434101e+001	-3.107394e+000	1.110086e+002
2.174999994508653e-004	-1.323330e+001	-2.869336e+000	1.101611e+002
2.244999994331920e-004	-1.172995e+001	-2.546252e+000	1.090109e+002
2.314999994155187e-004	-1.039394e+001	-2.259130e+000	1.079888e+002
2.384999993978454e-004	-9.206643e+000	-2.003966e+000	1.070804e+002
2.454999993801721e-004	-8.151498e+000	-1.777205e+000	1.062731e+002
2.494999993700731e-004	-7.614427e+000	-1.661783e+000	1.058622e+002
2.594999993448255e-004	-6.379868e+000	-1.396464e+000	1.049177e+002
2.634999993347265e-004	-5.956944e+000	-1.305573e+000	1.045941e+002
2.734999993094789e-004	-4.981822e+000	-1.096009e+000	1.038480e+002
2.774999992993799e-004	-4.647774e+000	-1.024219e+000	1.035925e+002
2.874999992741323e-004	-3.877571e+000	-8.586945e-001	1.030032e+002
2.914999992640333e-004	-3.613721e+000	-8.019906e-001	1.028013e+002
2.994999992438352e-004	-3.143924e+000	-7.010264e-001	1.024419e+002
3.154999992034391e-004	-2.319393e+000	-5.238261e-001	1.018111e+002
3.183010882999002e-004	-2.194177e+000	-4.969161e-001	1.017152e+002
3.239032664928225e-004	-1.979508e+000	-4.507814e-001	1.015510e+002
3.351076228786671e-004	-1.613301e+000	-3.720798e-001	1.012708e+002
3.575163356503561e-004	-1.042560e+000	-2.494217e-001	1.008342e+002
3.817410968623352e-004	-5.947167e-001	-1.531757e-001	1.004915e+002
4.022527274836997e-004	-3.354726e-001	-9.746149e-002	1.002932e+002
4.239297554830664e-004	-1.470978e-001	-5.697783e-002	1.001491e+002
4.434903368649100e-004	-2.600848e-002	-3.095451e-002	1.000564e+002
4.602354317845086e-004	4.949498e-002	-1.472804e-002	9.999864e+001
4.744227766464376e-004	9.752870e-002	-4.405109e-003	9.996190e+001
4.902092372724889e-004	1.386564e-001	4.433663e-003	9.993043e+001
5.046103386421529e-004	1.674857e-001	1.062937e-002	9.990837e+001
5.235584375165062e-004	1.956820e-001	1.668903e-002	9.988680e+001
5.461252490265143e-004	2.195946e-001	2.182809e-002	9.986850e+001
5.746923955636737e-004	2.395781e-001	2.612275e-002	9.985322e+001
6.072066225970235e-004	2.534256e-001	2.909873e-002	9.984262e+001
6.473055175330668e-004	2.628134e-001	3.111625e-002	9.983544e+001
6.945070400625068e-004	2.682417e-001	3.228285e-002	9.983128e+001
7.551567120147613e-004	2.711399e-001	3.290572e-002	9.982906e+001
8.321317341081426e-004	2.723864e-001	3.317360e-002	9.982812e+001
1.376216555536714e-003	2.725999e-001	3.321947e-002	9.982795e+001
1.920301376965286e-003	2.727648e-001	3.325492e-002	9.982783e+001
2.464386198393857e-003	2.728813e-001	3.327996e-002	9.982774e+001
3.008471019822429e-003	2.729493e-001	3.329457e-002	9.982768e+001
3.552555841251001e-003	2.729689e-001	3.329877e-002	9.982767e+001
4.096640662679571e-003	2.729399e-001	3.329255e-002	9.982769e+001
4.640725484108143e-003	2.728625e-001	3.327592e-002	9.982775e+001
6.352744423410871e-002	2.728625e-001	3.327592e-002	9.982775e+001
9.995322548410664e-002	2.728625e-001	3.327592e-002	9.982775e+001
1.000000000000000e-001	2.728625e-001	3.327592e-002	9.982775e+001
